gene,HP22068_G11,HP22068_G2,HP22095_G11,HP22095_G2,HP22182_G11,HP22182_G2
PTPN22,21,16,85.39785168,26.56720017,51.33254077,31.99666054
AP4B1-AS1,17.68591317,27.56002061,59.9572253,6.745877111,33,42.74659522
BCL2L15,111.4624707,153.5099525,146.8605074,120.7580926,32.65204997,112.3737696
AP4B1,86.79040821,145.2197916,141.8126101,114.1046285,161.22708,153.3323633
DCLRE1B,39.23313474,41,58.59234809,65,104.3740893,86.21392001
HIPK1-AS1,37.04941407,47.84595696,54.14359521,7.726765853,156.4339981,74.06761257
HIPK1,727.4612138,1148.780432,1689.407365,1125.709502,2141.326887,1759.638956
OLFML3,54.95734551,32,43.02257046,38.96458605,90.4653788,56.06461744
SYT6,3,0,2,0,8,6
TRIM33,740.2139958,990.3164043,2779.47459,1163.958125,2096.545478,1720.571657
BCAS2,1049.49485,1924.140296,2941.120624,2275.815113,4208.796054,2994.756606
DENND2C,86.86075322,88.23166299,246.0516267,86.44602922,189.102783,185.9825158
NRAS,394.6934972,634.9410893,919.6559321,631.8410594,1161.800419,1044.674213
CSDE1,3690.864747,6748.592611,10849.25499,7783.389664,14962.895,10457.78457
SIKE1,652.6919004,886.141183,1243.484852,1312.869379,2431.583276,1581.490301
TSPAN2,1259.338296,2160.777777,4205.331174,3407.257446,3519.03718,2572.1201
LINC01765,12.97963124,27.81917814,127.9472456,34.85460483,61.82852427,54.66631028
NGF,39,56.92788176,83.94353668,32,104.2478269,117.6195734
VANGL1,113.5530144,111.0649266,129.2268912,86.02052628,183.7248334,140.6498381
SLC22A15,78.46399408,157.1102449,1251.501349,171.7562317,350.1787266,288.2568957
AL365318.1,9,7,20.89594883,5.896185222,6,22.62246009
LINC01779,3,3.053415146,0,5,6,2
ATP1A1,4324.55047,5333.664966,6507.791346,4727.654481,8673.80283,6119.032683
ATP1A1-AS1,152.0710602,122.6770715,581.1461927,150.1087859,357.7042418,256.7353798
AL390066.1,3,0,12,1,0,2
CD58,197.9270682,238.6843668,360.0364219,218.4339849,501.0744237,384.4994809
IGSF3,153.3356793,119.5158878,74.63049647,75.39049793,114.820972,126.0618256
AL157904.1,2,5,12,9,13,0
PTGFRN,383.1089324,514.8580994,637.8299309,368.1155743,595.9543814,454.7061793
CD101,12,23.37621697,87.79486128,12,27,16.3192169
AL445231.1,5,8,48,13,9,6
TTF2,245.9986477,280.3617261,431.3455663,319.6476502,489.6890138,424.5131774
TRIM45,24,11.73865637,14.2752252,12.86779604,30,18.31170559
VTCN1,118.6391337,101.1631995,195.0548947,124.3949694,86.45812955,153.8788743
AL358072.1,5,13,6.274195129,13,18,20
MAN1A2,1379.197196,2174.670134,6601.883427,2827.394138,5685.398123,4149.193289
TENT5C,553.6789719,858.4362588,2768.558433,1838.169791,1891.720892,1402.2047
GDAP2,230.0802722,352.4172021,1138.081916,407.4067015,722.7492759,608.1466292
WDR3,174.9508223,246.5857941,312.7615636,321.0026725,733.3664861,500.0556458
SPAG17,21.40332218,12.4743518,29.10177861,6.747646701,22,28.47198218
WARS2,131.2540705,249.3007956,999.094052,208.6704104,399.9714463,276.4214467
WARS2-IT1,12,9,30.4927487,7,8,16.28120931
WARS2-AS1,108.6396233,122.809243,1407.206485,50.0794355,267.5263602,190.1508269
AL359915.1,9,3,56.24348722,2,5,9
HSD3B2,1.699148232,5.176569098,5.390676395,33,0,0
HSD3B1,2,4,12,4,0.978393272,7
LINC00622,56.42218062,90.45158279,83.18174765,71.12679654,110.8109937,74.16858887
ZNF697,130.7463174,240.0051475,402.5567119,185.2623343,263.3571689,421.3650514
PHGDH,401.5584496,581.9564288,427.9540949,443.2719169,1062.955158,981.1623845
HMGCS2,42.2445203,39,41.47501977,14.5200396,58.84520689,38.83333233
REG4,65.18550187,199.1487438,80.79737718,78.65228144,108.8064704,47.3084236
NOTCH2,439.3784832,405.0193047,455.3403928,223.2899602,425.6956998,473.6547551
SEC22B,1115.976351,1519.702266,2983.235551,2055.731885,3530.912638,2225.819275
AC253572.1,2,0,2,3.850497885,1,0
NBPF26,89.39854779,103.583459,118.1468101,78.60553728,58.51537212,130.4399415
AC253572.2,8.100235782,14,8.34139527,12.9871295,50.83862536,20.25160339
LINC00623,677.3048052,955.9009368,1710.673427,1309.047786,1534.464236,1014.679041
FCGR1B,6,5,4.971508385,9.788504156,6.411081634,3
AC244453.2,1.987831408,3,3,2,6,2.74231679
SRGAP2C,296.1500123,392.9647475,776.8533155,424.2802019,991.9715394,562.157752
LINC02798,12,8.550925539,211.0345143,12,33,13
AL592494.2,34.56213668,49,70.22944151,38.70882974,166.6794716,46.24807391
AC239800.2,16,13.58223712,23.51927304,6.062608702,27,10.771629
LINC02591,190.3768397,264.680408,278.3782394,133.4622676,419.2228139,362.7530739
HIST2H3PS2,21,24.13262616,53.55066205,19,28.77856322,45.19304655
LINC02802,360.5631248,474.6380348,740.3988523,706.889133,977.7078833,695.6165247
AC246785.3,0.850199863,11.62793492,28.91671964,43,29.7434447,18
NBPF15,68,86.52879371,425.1755262,29.11411905,119.5324228,160.4484865
FP700111.1,3,0,15.4731892,0,0,4
SRGAP2B,146.5843863,194.2376684,500.9133565,179.8971175,337.5959789,225.0923815
AC245014.3,11,13.66278436,11.35003144,12,35.49517942,27
AC245014.1,7.97024562,10.9106661,24,10,24.56968471,25.32821463
NBPF20,19.99522808,37,71,34.70476564,40.66387092,66.79081642
GPR89A,88.76285184,123.8663033,467.3541938,94.39946902,273.8791677,168.872851
PDZK1,474.8040735,666.5277405,951.5127898,621.5872263,552.6764759,544.6436661
CD160,22,28,29.27629623,14.28777075,11.9395469,11.57153459
RNF115,958.8204123,1465.372547,3021.066263,1688.970594,2763.885171,1993.921808
POLR3C,175.9486682,239.411766,579.3521558,236.2075769,534.4707409,480.9870954
NUDT17,48.67621746,57.417589,102.2375919,45.62110399,71.40321364,21.72950665
PIAS3,264.2098155,300.1189816,467.3569083,334.3981276,391.7494498,292.4377564
ANKRD35,13.88591132,12.5211606,7.89946204,8.498614077,37.12939386,21.63444086
ITGA10,90,48.70893024,105.4861739,51.39497418,118.6600284,80.79219781
PEX11B,224.3928672,361.6506625,584.6373232,450.2904866,622.9714177,413.8285093
RBM8A,2586.651847,4262.377217,5692.421209,4963.812577,9019.034315,5632.460194
LIX1L-AS1,46.2614215,57.45231611,171.2299381,64.2716201,147.7972318,100.4904902
LIX1L,341.5217633,596.4102739,933.9701045,733.2477091,1157.491744,809.341383
ANKRD34A,10,13.78421971,37.2711732,9.384951649,30.42548652,23
POLR3GL,962.79642,1460.878687,2113.000264,1705.9419,2948.935152,1796.008092
TXNIP,1281.003473,749.2195358,549.2433449,99.60149007,3663.894568,838.8845962
AC239799.2,10.66915507,26.88289238,23,30,94.28842137,29.34349853
LINC01719,82,72.43747398,105.4996439,41.37907622,93.02828431,87.41443177
NBPF10,12.40736799,20,23.48715394,12,20.41030844,27.45959399
NOTCH2NLA,40,17.99917282,23.23307143,22.0684811,42.48941177,61.67264883
AC239799.1,3,1.916893857,2,2,3,0
AC245407.2,216.8751171,373.2573798,261.0472906,277.8054683,719.1855013,442.114442
NBPF12,83.52722606,103.5357619,565.4257876,80.39132713,190.0787205,102.8604217
PRKAB2,232.6520554,334.7107537,641.9542781,389.9492947,838.2404985,739.9939535
AC242426.2,205.6975413,202.3172274,1268.905669,300.551,610.6997018,560.5064173
FMO5,159.339355,198.6757467,558.8934201,108.9508811,174.3900005,131.4669716
CHD1L,38.96765451,47.45313726,56.77166258,50.13656687,110,97.04018742
LINC00624,193.2816709,146.144466,195.222793,100.6567464,108.4640106,339.9146007
BCL9,354.9760878,619.1219808,1567.993663,682.8487519,1071.024514,873.1758659
ACP6,217.8709569,312.595865,570.0596799,336.1333881,400.0668619,271.3494733
GPR89B,51.95386321,71.07613453,295.8972332,82.14632525,166.9446949,116.7931576
AC239803.1,6,13,5,4,12,6
NBPF11,65.75017129,76.94720957,278.508269,66.58724715,142.2180747,134.1769647
LINC02805,12,7,12,3.071487903,6,13
AC239809.3,164.0316277,294.3551481,369.0563046,180.8519788,333.3227294,342.4714727
LINC01138,186.0380172,222.6602851,1429.923448,130.0127262,277.1818599,358.9313623
AC245100.6,5,9,9,9,7,1
PPIAL4G,12,6,10,8.493893447,7,10
NBPF14,33,30.56465858,68.18820266,33,108.2882256,101.1444575
NUDT4B,9,12.244135,27,16.78009762,67,54.35739812
PDE4DIP,2223.589211,3604.417111,5099.375916,4080.659314,5531.256577,4312.127951
AC239802.2,19,13,5.041408032,11.66849677,3.939586139,13.56358666
NBPF9,80.15519405,62.94352547,181.5000713,74.39780217,79.45201641,130.0712273
AC245297.3,1027.216178,1263.247174,2312.991866,1465.144319,2102.965634,1655.861379
AC245297.2,35.05048918,35,66,33.35414188,32.65827264,25.80872106
NOTCH2NLC,30,20,70.61798426,17.91575213,36,51.40381497
NBPF19,49,31,48.26959879,66,39.58967678,49.17612472
FCGR1A,16.07159616,18,30.38039987,25.36551247,18.53488818,21.54808978
HIST2H2BF,16.4361702,17.24924699,65.64233033,62.50929953,175.6486382,130.4379039
AC243772.2,4.26962758,0,10,7,1,8
HIST2H4A,2.80708293,13.34360954,1.911923608,12,25,20
HIST2H2AA4,146.7361004,326.9802542,131.7728209,22.62802629,19.72236462,61.75368717
HIST2H4B,10,15,2.618280003,2.77332294,31.23173688,51
AC239868.1,28.99623289,56,43.7872819,34.09451973,110.5147329,70.29670169
HIST2H2BE,218.9582727,310.4851465,494.3757405,358.2160134,358.5263975,208.0709167
HIST2H2AC,256.2636981,434.5092792,574.2841211,1072.722138,3165.274762,1662.921619
HIST2H2AB,1.164142852,15,20,29,68.67684809,51.20890243
BOLA1,304.7898445,490.9156865,603.7010095,723.4844339,1037.323798,656.6139943
SV2A,390.6269961,617.7823244,949.1483996,674.2406637,1138.749688,705.1824251
