	donor1_H1	donor1_H2	donor1_H3	donor2_H1	donor2_H2	donor2_H3	donor3_H1	donor3_H2	donor3_H3	donor4_H1	donor4_H2	donor4_H3	donor5_H1	donor5_H2	donor5_H3	donor6_H1	donor6_H2	donor6_H3	donor1_L1	donor1_L2	donor1_L3	donor2_L1	donor2_L2	donor2_L3	donor3_L1	donor3_L2	donor3_L3	donor4_L1	donor4_L2	donor4_L3	donor5_L1	donor5_L2	donor5_L3	donor6_L1	donor6_L2	donor6_L3	FC	Log2FC	pval	adj pval
ERC1	14794.1	11203.17062	15523.21067	21581.58142	21199.97305	21730.81527	20978.97318	20466.00764	19566.65114	15068.2239	11605.94393	15147.43877	18248.12155	22863.8899	16520.45909	17020.16781	15637.05359	19177.82626	19313.34604	14641.01804	19058.69171	21114.02714	19127.72521	18401.53929	18061.16905	19248.97485	17729.49562	11232.54942	6933.073667	12086.48183	18239.37706	16789.94897	18217.00112	17918.5924	20055.28936	18061.4574	1.039525387	0.055924991	0.383417439	0.620983203
KRT3; KRT2	0	0	0	0	0	0	0	0	0	7182.156167	8921.696388	6461.239662	14344.2241	13809.15553	12505.06684	0	0	0	11510.97408	17078.5885	17420.15601	11741.68455	11518.65904	9828.17415	0	0	0	2612.496963	0	0	6441.030785	4183.715041	5108.407742	0	0	0	0.648819959	-0.624109894	0.383464818	0.62087499
CYFIP2	0	0	0	934.9239728	956.3182109	791.8647584	448.7260836	199.870855	1395.249219	0	0	0	1425.299666	0	1579.575873	1395.228862	619.5568238	165.4098362	693.1220797	0	0	1657.906278	1479.217181	511.3454827	964.5682163	250.8547956	73.7855872	0	0	0	713.922373	1299.587263	929.6229117	1044.244685	1583.696422	1309.807286	0.792221645	-0.336023975	0.383468948	0.620696835
ACTL6B2	0	0	0	7669.564313	6821.734409	5271.403135	6733.529708	6419.716335	6606.991304	0	0	0	6900.81198	6837.149947	4554.838159	6417.071414	0	7846.516482	0	0	0	8060.12645	5458.35257	6216.679908	6498.833319	1783.686332	4953.180161	0	0	0	5736.275272	5758.10817	6049.310195	4398.753146	5471.24734	3348.982353	1.130948204	0.177532857	0.383807674	0.621060216
ACTN11; ACTN4	154475	116648.0782	136426.922	157719.4397	151266.2624	148176.4895	150996.2728	136225.9777	147628.5292	85991.09178	84477.14534	83215.83635	123315.1197	116851.0215	146740.622	140225.0584	151689.0365	169559.0628	158235.7134	150714.0192	153400.1385	124331.1004	146071.8132	137394.251	111947.0855	118201.7629	106442.0198	87858.66745	49615.33638	56604.77501	167717.6709	174958.7229	146651.7428	134707.8451	132460.1598	133441.8315	1.048399906	0.06818913	0.384403879	0.621839896
HSPB6	0	0	0	0	0	4978.14593	3186.886379	0	0	86515.23056	84083.73668	81777.24285	0	0	0	0	7609.106312	0	0	0	6044.532345	8489.339336	2162.638696	7725.930969	5620.415883	6323.245136	3330.186507	88168.94989	74946.76083	69986.12728	0	7897.658406	0	9789.031274	0	0	0.923113132	-0.115420627	0.384592977	0.621960742
CNOT1	5836.21	7652.660647	6117.437687	5279.937245	5982.144701	6535.760757	4693.666936	4932.383718	4136.36003	5863.51321	6502.652059	0	10563.69775	10477.40406	9383.739135	5529.193696	4911.188823	6339.928323	11290.79796	6540.746764	16079.23698	6790.485656	6955.272298	6477.275393	6352.279467	8047.266303	7325.669117	5637.271571	0	4758.174021	6296.498781	6350.318	6957.161259	7072.626258	6199.606249	6250.580914	0.883209122	-0.179173022	0.384664743	0.621891826
C1QC	65487.8	81156.1737	63783.79749	70432.32566	76892.89211	69895.23379	62516.14046	55510.05755	58016.4158	154526.4905	195316.3843	140079.3766	69447.13124	70420.10682	65943.77341	40072.35441	48921.24659	45751.62491	63695.41278	55937.45141	72729.46595	53322.40359	49200.62771	45982.27779	63106.40457	59815.89238	60769.58498	265812.1478	197078.2642	225219.6643	89557.69476	76818.53838	82842.25566	36043.97268	34620.53286	37759.58565	0.913302046	-0.130836029	0.38483176	0.621976897
LANCL2	9414.65	8383.116825	6358.304262	9637.69501	10213.69767	10020.84671	10136.04819	10462.39735	8744.969901	0	0	0	0	12921.53582	11709.09472	8174.690928	10168.19568	14119.15513	5661.235025	6996.071823	8991.198213	12126.96546	9883.203983	10938.13233	10308.21735	9900.554801	14937.43185	5764.000019	0	0	8595.896085	9473.965938	6157.044812	14270.39282	10987.07799	10246.63759	0.904832416	-0.14427748	0.385054797	0.622152431
SYMPK	4999.67	6907.72907	3760.536266	5669.652985	6848.263614	5304.366333	7493.931064	4823.423505	5655.347789	0	0	0	0	0	9073.707006	0	2830.996773	4684.780066	0	0	0	5139.543376	4317.043127	6484.744228	6520.094617	7651.642023	8552.100073	0	0	7521.044992	7787.528718	5827.340543	5664.29379	6879.204317	6496.975223	5655.477472	0.805382183	-0.312254539	0.385392682	0.622513373
B4GALT4	0	0	2381.139258	8314.860805	7159.851503	7174.197966	3023.599832	2453.735998	9001.150303	0	0	0	0	5304.329057	5212.17421	6549.299746	6224.756278	7195.02469	7853.319301	0	0	0	0	0	0	0	9182.041696	0	0	0	7250.72518	4051.610718	3486.452983	5366.321905	9449.061193	7250.637923	1.298829053	0.377211561	0.385666752	0.622771052
TRIM3; TRIM2	0	0	0	4415.101077	2878.239275	2665.99659	4699.653537	0	0	0	0	0	0	5180.41034	0	0	0	4921.734869	975.0565382	4829.163007	2399.527369	2534.895173	3726.352444	3642.205649	0	1629.722154	3132.413501	0	0	0	4308.538347	2638.278578	0	2250.646518	0	2014.489168	0.726531678	-0.460902391	0.385746683	0.622715177
H1FX	8351.92	6457.534331	14048.81587	36971.46693	37927.3838	39574.73934	42629.75059	41840.03609	39064.5013	31750.64205	30403.36348	29571.04909	14408.00646	20091.33114	17900.77623	17923.15704	13579.41306	12402.57732	7707.591705	7154.36917	10036.00848	57367.17487	50587.88813	45019.91273	45412.03433	51776.84757	52850.24702	20509.83208	29841.66366	32093.10079	10330.6119	17527.15135	14912.79937	10124.92014	10262.39495	11830.83485	0.9372634	-0.093473547	0.385845163	0.62268927
LASP1; NEBL	2193.05	3315.329064	2221.507233	3523.642874	3416.535492	3676.030463	4129.404031	3076.689018	2935.622613	757.7446994	0	271.7466688	5334.664181	6756.262998	1878.281629	985.2417204	1869.926149	1916.014946	4126.27364	7306.215247	4106.441209	1574.948785	2936.154731	1791.450432	930.1922867	362.7210458	1683.513878	0	0	665.5756949	2220.853838	1878.490418	2548.341258	1774.799505	3226.701118	2740.894213	1.21026778	0.275326289	0.386050617	0.622835966
OSCP1	5116.68	0	7404.526723	0	0	4810.264133	4347.977926	7868.264373	9375.771571	0	0	0	0	0	0	9113.306934	0	10125.91283	0	0	0	7984.867792	7356.731955	6378.430367	5241.6997	9722.228247	9533.126771	0	0	0	0	0	8356.565831	8837.945761	9343.4714	3460.293511	0.763136243	-0.38998745	0.386223475	0.622930001
CBR4	24638.5	27086.42466	32007.29598	22898.63523	22042.63139	28147.22851	25093.35919	21799.24183	24518.8301	0	0	16546.66866	17004.09113	16472.56537	17236.19839	24778.00744	27133.56926	22608.08931	45507.44883	31591.4787	29427.99685	23133.24733	21294.8849	20745.97341	26482.18939	22673.30217	23291.43095	0	6883.055216	0	25280.50439	21362.65412	13835.55733	27253.19207	30502.05801	29099.51979	0.928826094	-0.106519592	0.386766364	0.623620618
CPSF2	8415.61	12748.98562	9308.144267	8858.758663	8271.681112	10049.19967	10025.4735	8221.348028	10519.81699	0	0	0	9943.965969	12590.45443	7196.821637	11155.65516	9736.187332	10821.52163	7519.098914	7696.556378	8141.488428	10361.63726	10247.21681	13351.26859	11878.93579	9968.106989	10834.13666	0	4195.444478	0	11355.62694	12935.40676	9620.484698	8845.813736	9521.51445	9566.98387	0.947602465	-0.077646143	0.387240818	0.624200513
TCF25	3397.16	0	1395.437763	2299.777698	1970.317468	2653.030297	0	1217.840357	0	0	0	0	1858.097544	3027.929782	0	1354.35694	1940.042963	788.5726834	0	0	4854.859283	0	0	0	0	0	0	0	0	0	0	521.8193993	0	3833.262461	2876.784454	2790.512015	1.472219781	0.557993061	0.38736188	0.624210593
PIEZO1	5093.36	5129.647933	9209.887276	0	3187.823867	3427.400357	3409.054525	4141.288006	0	0	9284.789687	0	5710.826399	0	5282.518597	3057.462934	0	3349.506866	12311.54301	5485.464774	4695.699553	4457.207261	0	7366.624229	0	0	4469.619642	0	14192.81296	8239.934107	0	3843.798525	0	3038.927935	4122.419419	4836.158039	0.782291754	-0.354221336	0.387378255	0.624052021
CMTR1	8399.38	8872.71025	7017.300524	15975.63939	12373.88829	12823.26023	8043.622376	15526.51608	7784.840933	0	5378.38427	0	11926.31286	8988.90358	4800.371435	7677.322474	9759.341204	8291.950371	13410.62535	0	10192.36778	17370.42615	14446.42245	12081.78945	12039.19627	15504.31142	15959.25722	0	3312.895483	0	10441.11807	9999.412243	7796.681127	6925.088383	9691.603871	7722.547177	0.920584211	-0.119378396	0.387706115	0.624395186
MYO5A2	0	0	0	6720.302209	2484.516226	10356.21843	7248.06834	3201.784713	6445.847972	0	0	0	4162.01291	0	0	0	8743.69888	0	0	0	7973.80269	7876.258821	0	6327.319006	8553.547262	8835.644894	5796.232557	0	0	0	5338.405339	0	8514.033729	5676.95212	0	0	0.76068391	-0.394631006	0.388125666	0.62488577
SDC4	17389.9	15793.44748	15643.17274	0	0	0	3676.379728	0	0	0	0	0	22889.30354	0	16215.88697	12442.61837	14982.70044	11896.16383	12788.98465	19545.66652	20054.37538	0	0	0	0	0	0	0	0	0	0	0	9590.057426	17409.68281	14239.78963	14288.62201	1.213241256	0.278866463	0.38813712	0.624719219
STRAP	21247.8	21330.04121	24928.15903	34458.60932	36065.82334	36771.59971	32169.56744	37045.4439	36129.45203	12283.48141	17348.67384	15383.26503	34167.3637	31497.11779	31833.15372	26262.61521	31422.47796	25080.26989	31926.66184	26977.75447	27165.42984	34559.74315	30357.17534	36201.00124	33306.23774	35993.73908	29738.54014	9753.265677	11706.03341	12383.34611	29766.68824	26971.96186	26345.62274	28243.14772	28464.85429	28464.40337	1.035016202	0.049653352	0.388246813	0.624710839
DNAJC5	4677.33	0	4659.810091	5113.699214	6688.845209	4754.941284	5855.342263	5051.845707	4801.906189	0	3952.336201	0	8042.801611	5030.950115	7525.932506	6566.949226	7710.831174	7391.044313	5220.669233	4048.323671	2647.98344	6436.847973	4492.262442	5846.883356	5661.480562	7339.667656	10376.67111	0	0	0	7610.318651	8974.034556	7249.063132	5353.948794	8161.916886	7219.331325	0.908786298	-0.137987012	0.388438812	0.624834858
SUOX	11792	10228.49379	13146.15522	11776.45085	13396.84332	14589.4422	17838.01078	13482.61218	17746.86555	16204.22661	11478.03213	12637.3197	5615.756654	6300.326708	12372.10959	14005.16303	14233.3435	15109.80575	6455.656105	8533.089812	4656.380138	13134.25799	11296.98456	13060.98727	18149.19634	14614.08126	13256.94617	4238.230769	23051.07148	10120.96766	10153.51587	10286.16483	16026.59162	12883.94247	9319.073107	12857.84526	1.093627745	0.129121749	0.388453911	0.624674331
EXOSC2	9434.4	11061.46927	7249.037415	12163.92122	6052.480097	6740.386147	7970.695731	9315.521115	9689.205845	0	9051.335551	10686.11065	17811.52528	12853.13877	7925.043908	8890.69508	7800.635649	9852.736665	13914.59153	7838.338473	7490.926718	8952.343438	8204.01982	11568.33486	10489.52928	8626.309717	11012.58167	0	0	6841.984709	7439.121678	8278.01801	9689.49275	10389.89048	9010.805512	9134.552802	1.105235145	0.144353344	0.388715053	0.624909446
PAK2; PAK3	27446.9	25292.45997	30246.34692	36368.67128	34676.60084	37977.40732	33760.76709	28523.69251	34345.44295	9123.5883	8383.663632	9403.105609	34370.56705	37564.52005	29996.34308	28032.95631	27548.4579	24729.94789	43470.45441	39721.53801	46267.20511	37803.65469	36646.40334	25503.84477	25001.96125	19226.85667	24831.98548	8268.458583	9514.86663	13023.96456	31971.31709	40011.66701	22580.0136	35891.84426	36014.35253	36352.44661	0.935517359	-0.096163671	0.388859201	0.624956393
LGALS8	8291.08	0	6349.694872	10150.79099	8777.554031	8236.362099	6434.451481	7851.751787	7403.064365	0	0	0	10720.47501	6972.21485	0	7867.109893	4337.900643	7111.450931	8543.586622	7753.013409	8905.314543	7568.361941	5907.389224	0	0	0	0	0	0	0	9475.259446	8130.88091	7375.655993	4205.939718	6840.271028	8338.272116	1.210249597	0.275304614	0.389280265	0.625448228
RAB39B; RAB39A	0	5856.431102	0	4962.269115	5236.107786	0	5456.529323	6338.810377	3537.608144	0	0	0	0	0	0	0	4944.413732	6758.825589	0	0	0	4656.630832	5150.644613	4179.092321	0	7017.454187	7794.121445	0	0	0	5627.884045	4829.988472	7726.423495	6507.07152	0	4634.820359	0.741361535	-0.431750832	0.38947639	0.625578474
DSP	177795	185611.0428	180711.7771	152456.0606	152166.0089	145319.2948	151717.4121	155000.0452	146788.0107	64309.10448	75190.80102	99218.52295	126146.3538	132239.8075	146302.9884	205612.73	197809.7319	211034.1881	186485.4677	177542.3286	180708.3109	167065.8533	161452.1628	158846.531	173570.6112	173641.8142	168501.1578	58129.54791	63138.55746	68186.34328	142264.6529	141023.5618	138867.9011	196427.1446	206005.4284	198152.4722	0.980224358	-0.028816098	0.389674136	0.625711246
RDH13	10324.4	14597.99621	13122.00574	9127.408624	5463.510899	7545.172248	8779.161595	6861.408013	9115.623646	0	20867.155	0	8909.506147	6989.892349	15313.11142	11129.42945	8214.921931	7822.315338	12740.65604	8050.938688	0	6672.255967	6849.516969	9681.138412	5343.908559	6235.700263	5973.956052	22522.85036	0	0	6495.262685	3377.876578	6739.713524	8791.122236	12411.20743	10050.87242	1.244404892	0.315455972	0.389792702	0.625716835
TTC39A	9075.61	9685.607269	9303.569608	7970.800935	7612.573374	5378.107081	6698.102308	0	8110.292443	0	0	0	0	8079.740447	8151.394245	0	7663.68858	9571.986255	5422.963774	3546.470928	0	7941.071482	7238.053094	5845.768604	8585.190701	9237.947789	7601.694247	0	0	0	0	0	0	8184.572893	6778.318711	8562.038883	1.232536485	0.301630353	0.389949596	0.62578393
NLN	7625.38	7982.522482	6163.066471	6587.007796	6348.493223	5567.922082	5309.48558	7402.460891	5009.031501	3749.617299	4844.574935	1665.427438	4904.907218	6527.71111	5698.55183	7041.856629	8015.625322	7800.792497	7860.44496	10936.70977	10898.57531	5238.452493	4187.964862	3534.108185	5710.442294	5518.822766	5120.299499	0	2876.470581	0	5924.049727	6244.963024	6092.306158	7920.926339	6712.830253	5838.963867	1.075813779	0.105428372	0.389994427	0.6256712
YAP1	5102.66	9223.408781	10685.4601	0	0	0	0	0	0	4680.406073	3590.728441	0	0	0	0	0	0	0	9345.358144	5916.12915	9292.567694	0	0	0	0	0	0	0	0	1714.712328	4012.922138	3208.101391	0	0	6812.046395	4162.034049	0.74853274	-0.417862676	0.39009947	0.625655109
TTC19	0	5388.294746	4879.855097	8194.601057	10625.86726	11240.31215	6913.986239	10226.09024	10780.20572	0	0	0	10483.84356	19192.47712	0	8177.620171	8238.699299	10387.71157	8072.068045	0	5300.195871	8029.263278	7809.919397	7819.135351	4304.059884	8372.630266	6740.636648	0	0	0	9748.647938	7214.205789	6733.194882	9370.277789	9258.055878	9781.520164	1.149011379	0.200393085	0.39049986	0.626112573
ZFR	4213.58	5214.964159	6726.505379	7050.648046	6460.909428	7873.778448	7167.529669	6665.405331	6734.548298	9348.984989	0	0	8904.159847	16305.1523	6711.663139	7531.188172	6840.907126	4976.618649	11244.6048	8528.489776	9751.883762	8706.376395	9994.220715	5296.151469	9703.921553	9360.396244	8529.984392	0	0	0	8937.429535	7531.651599	8503.141557	8818.494675	9554.04909	9827.586961	0.884116263	-0.177691995	0.390890371	0.626553934
STEAP3	10044.9	10443.26144	11438.02089	5548.20722	6212.778564	3686.749265	7185.134626	6074.803267	2242.07446	0	40506.66773	0	7767.966615	10161.13653	9193.035095	8649.72523	10324.38656	9048.420918	7641.381519	8221.656134	11698.88639	4249.474374	5452.698524	5223.269009	8654.298203	5927.534541	9881.544407	0	0	0	8851.172718	10046.48775	7453.640194	8120.017065	9482.122492	10839.76231	1.302136772	0.380880993	0.391111807	0.626724107
ZNF462	15934.6	0	18443.13869	0	28043.25737	30747.97871	38875.3619	37321.87259	39328.23835	6714.770733	7618.136168	0	0	0	27099.41721	0	27819.51989	0	9504.111985	0	8208.982222	28623.50034	0	26992.70702	28864.66972	0	13576.82004	6455.101369	8151.956562	8193.674662	0	0	29428.64884	0	24179.24576	25422.62569	1.277314708	0.353114024	0.391720977	0.627515308
COMMD8	4200.03	3005.082871	1765.788774	3304.05714	3417.99454	2890.469052	4796.812753	1652.104228	1796.198324	0	0	1114.638948	4337.068586	3718.872175	0	3441.352323	2567.194807	1994.028549	4665.328629	4901.899679	3670.560327	3334.827887	3003.689162	2464.47057	3752.38166	1986.644997	1026.411399	1220.222267	884.3033501	3441.907613	1292.027583	1878.239348	915.6848889	4010.98048	2866.143789	3905.805539	0.893952175	-0.161730443	0.391848405	0.627534545
CCDC19	37475.2	36961.20668	35652.69025	49586.65007	54043.15221	51070.59695	43576.27457	39285.32763	39801.01566	17735.37551	21350.4733	19954.86459	32887.21555	32138.79448	48261.70976	38581.61321	37327.0852	35084.37352	16582.77998	17203.01388	15747.04008	56817.40342	0	56671.07363	50937.76289	52283.73174	45935.68032	9971.113195	12407.38918	20846.30275	44824.61947	42355.92246	45043.39974	37543.05144	43912.7356	39528.77741	1.102137064	0.140303651	0.392280557	0.628041633
RAB11B	83961.3	87781.278	82204.45555	84877.54344	83237.55244	85129.07192	96222.53593	98167.95231	96190.28858	32216.07048	47745.21421	37931.06334	48549.68157	43664.41365	74628.09073	85046.90715	72509.76888	82584.07307	75496.58326	82110.19952	65250.38721	94482.00426	88866.56051	95270.68592	90653.20515	89108.79107	86817.87828	36356.81755	33841.6714	31922.72103	81720.03963	77783.48158	86181.34151	81195.04633	89618.36956	90669.98149	0.960287021	-0.058462417	0.392470768	0.628161191
TMEM65	5055.62	0	4141.479673	5563.107269	3701.107826	4083.886645	6064.140714	5046.65767	4187.020476	0	0	0	8158.005064	0	5663.582824	3951.431785	5323.87938	5081.018891	4810.145849	7334.196932	8024.516571	0	0	0	1283.806884	0	0	0	0	0	6659.129901	5469.012274	6806.201589	3544.70955	4613.555982	4061.268947	1.25499477	0.327681353	0.393043545	0.628892806
NONO; SFPQ	31765.9	29833.50079	29268.4891	24011.53304	20576.05617	18103.71095	33623.17828	44179.90952	40165.31678	0	0	20792.69647	10922.54762	10545.32751	59500.76518	35191.62309	42421.46543	23374.0839	5405.498041	9362.083674	8316.849843	40550.02476	31719.7554	39522.06925	69110.92651	82545.40713	98735.74891	6965.19921	11623.64826	0	23522.08869	15117.09481	44976.75547	23456.4938	26012.44966	25490.97183	0.843257861	-0.245954232	0.39305797	0.628730857
RPL38	25073.4	30749.38977	30934.50908	22815.84439	24670.77124	22342.93955	17847.39704	17439.80485	19284.79651	9788.461735	8847.678558	10583.03662	22830.13196	29127.89237	26238.42524	23255.1186	18072.91279	19965.03301	48490.33516	40802.65874	37486.54943	27461.10059	21930.40408	23399.08225	22046.14379	10982.16664	18788.38088	7170.156198	6877.274344	6210.570865	16581.73254	18306.72168	15568.82883	31030.99438	28919.93082	30448.15281	0.920888371	-0.11890181	0.393263527	0.628874646
IRGQ	17215.9	16279.0134	16436.57169	21915.62348	24364.71847	24506.63924	22562.61803	26058.46055	23631.98563	19480.68955	0	9368.540268	21897.3287	22189.61171	19643.39145	23507.11805	20759.86099	23970.70262	15444.02322	15383.98	18051.10336	27459.29176	28701.57214	30021.82158	24033.77143	26301.87209	25361.64675	14765.13942	8400.039427	11030.63167	22106.73045	20933.32553	19785.01567	19960.20913	18548.72163	20520.31415	0.964503521	-0.052141591	0.393492957	0.629056514
MYO18A	13488.2	9843.970097	11507.62246	10081.92144	8912.886559	11617.33736	9126.44169	8532.870248	9809.607538	0	0	0	5528.93141	7845.62648	14566.11258	8016.258037	7324.475373	10447.89839	11797.57394	11641.56996	10583.40775	8582.494111	8514.341651	8631.967637	10802.87111	8815.662998	8616.840095	0	0	0	6118.925854	9867.192847	7713.636127	8453.407826	9842.206903	8594.532714	1.058260387	0.081694649	0.393497129	0.628878274
RSL24D1	2579.99	0	0	2887.638761	3339.865973	0	3403.892083	3837.490706	3106.914088	0	0	0	4118.210568	3516.676832	0	0	0	0	2713.223964	0	0	2332.023519	2259.217419	1859.037822	0	0	0	0	0	0	2411.655574	0	2999.960274	2095.283371	2460.272274	0	1.40040433	0.485843428	0.393763941	0.629119762
TECR1	2250.71	2683.492692	563.560637	0	2773.824678	0	2000.348916	1290.758565	3454.611244	0	2794.376049	0	4542.028417	1363.998021	0	2201.214689	0	0	3501.14878	4646.40693	4425.497624	1917.993504	837.3887985	0	0	0	1184.681185	0	1275.470519	2311.427647	2082.293459	3503.097416	1810.193563	6044.633159	0	0	0.772771144	-0.371886871	0.393854954	0.629080313
MARK2	5177.65	9258.277751	6581.677185	0	0	4269.852099	4643.770963	0	3997.18714	0	0	0	5335.026456	5032.668302	4898.922348	0	5949.985019	7076.654421	5717.36364	4821.612215	4678.738237	4873.792248	2612.135302	4521.956474	7317.7633	7430.557231	7503.928287	0	0	0	5327.986096	6210.28407	3441.280668	5023.088169	5438.830929	0	0.830515737	-0.267920589	0.393927564	0.629011502
UPRT	0	0	0	4093.82884	4219.591092	5289.786457	4654.32478	6090.23025	5564.61078	0	0	0	7604.800147	0	4278.680953	5807.588055	3254.265616	6222.757933	0	0	0	5936.740233	4435.048888	4241.741361	6622.325566	5138.368327	0	0	0	0	0	3787.433456	6068.574552	4249.549865	5414.669096	0	1.243733463	0.314677343	0.394039699	0.629005827
AP3D1	9428.07	6665.802819	6719.977164	8708.73336	8128.71753	9429.122733	8978.940081	7412.802684	8041.938682	0	2481.868798	6266.81184	9960.751378	9290.357254	10204.11453	6714.701485	7842.124513	7744.291022	7281.265991	6990.181532	7264.749381	11165.30068	8781.338238	8817.897059	9268.324494	9135.912804	9418.284837	7663.968273	5467.213075	0	10158.61663	9775.123624	8671.730717	7975.479056	6988.477223	9260.987817	0.930140293	-0.104479761	0.394402846	0.629400726
LRCH1	0	0	2690.586445	0	0	0	4736.145477	0	0	0	0	0	0	0	6319.1996	0	0	0	0	0	0	0	0	5136.128875	0	0	0	0	0	0	0	0	0	0	0	0	2.67632138	1.420251369	0.394833635	0.629903309
AL136419.6	16349	17603.95548	16561.14769	27389.60681	31326.11624	32691.65482	33458.34644	27050.24418	32317.87844	10707.6616	9103.933986	12076.81027	26414.89806	23903.83348	30731.98428	25661.32738	27159.77721	20827.01797	13330.60218	17658.08088	24381.32504	30450.64533	31551.48024	28460.27752	27397.03268	24529.93537	29552.8034	0	12077.15301	7373.219665	21530.09534	27451.29509	22167.13156	26588.0973	33015.72708	25042.9249	1.046645144	0.065772392	0.394908108	0.629837308
LSAMP	21032.4	21713.49156	23258.80131	38915.03673	0	43752.88229	47011.75943	0	0	0	0	0	16606.35708	25147.75668	0	0	0	0	0	0	0	37018.62221	0	33897.25556	0	0	0	0	0	14181.55398	22501.62494	23009.04138	15543.7331	0	15281.71497	15620.46264	1.341051167	0.423364283	0.395037645	0.629859143
TBCC	8696.59	0	2906.390565	27183.83874	25708.66415	28591.30963	29297.60146	32046.18707	35190.7775	0	0	0	23569.39254	21425.8997	31392.81098	20809.46549	20288.85776	23410.50882	0	0	14203.8551	29123.07674	27542.7172	23746.43885	28594.07138	30093.68504	21120.09303	0	0	9910.002523	24768.87292	22098.1827	23675.16628	18876.73453	15730.02016	18788.66463	1.072165956	0.100528232	0.395161898	0.629872541
APOO	12030.2	14363.53415	11188.57438	13700.33047	7247.544943	9690.465569	8984.537496	9262.623703	10999.3024	0	13674.55658	2532.173357	10525.2966	13861.47212	13462.12979	11980.919	9974.330876	11559.769	19548.13314	8689.266655	6659.209988	8435.368353	7853.401698	7867.448686	6842.228135	3641.430836	11606.63314	0	0	22620.63224	11086.48909	10006.65141	5304.987492	7476.647307	9101.6381	12383.48667	1.162855157	0.217671409	0.395295387	0.62990065
XPNPEP12	32502.6	32135.08914	33599.39498	15686.96532	19873.51279	23753.55695	22232.7254	16097.88584	19513.55972	21637.57165	13129.91663	16588.43141	19714.01798	22769.83018	21420.91316	23058.63728	22061.27557	22909.88046	34489.20171	33165.1399	33722.8606	23639.38073	19611.68457	19346.51424	20794.10183	18668.93882	20923.97077	12484.96958	9537.510954	8204.865192	21203.83308	20235.35274	19407.5384	24280.54942	22437.18614	21821.77871	1.038310756	0.054238293	0.39544313	0.62995145
TSFM	0	0	0	7713.596606	5745.674645	9764.033433	4051.257711	10722.69055	9027.776277	0	0	0	11140.61521	4409.550232	0	7979.46802	6828.014509	9104.536717	9117.168464	6205.527532	8053.892754	9668.685568	9254.079253	0	10755.86432	8522.375804	0	0	0	0	7556.159323	7192.843972	9108.708821	8678.963559	3413.718871	9450.089506	0.808457356	-0.306756417	0.395468094	0.629806686
PPP1R13L	12217.5	11887.35476	10355.80981	6827.584867	0	8968.940356	0	0	9648.0858	0	0	0	10309.1282	15487.91216	8204.920999	8917.343784	6903.045312	8374.624221	14023.49947	13403.04729	10615.25557	10471.67068	7125.544323	3606.188024	0	7555.411714	8576.850396	0	0	0	6383.699031	12202.07504	8975.389055	9000.675127	8022.395194	10170.97552	0.907552611	-0.139946816	0.395550585	0.629753595
AIMP2	8977.71	8526.925477	9773.669774	7810.066941	8778.885703	8034.157084	6904.840361	7292.872172	8294.954239	4913.503178	805.5109108	3282.996541	9735.723707	10485.24604	9427.815088	8278.240179	9117.288877	10640.59692	11516.59369	13179.55284	12317.8157	7525.67354	8277.52241	8387.235068	8111.047185	6818.099168	9847.775085	2554.258085	2827.843248	4235.678711	7751.55382	8456.402784	6467.607079	10987.94198	9495.858624	9889.162664	0.949096942	-0.075372641	0.396170238	0.630555499
SEC62	6975.27	7960.966939	5681.598377	4931.778133	5550.66009	4270.635839	5398.174271	5783.278989	3745.811338	0	3665.661777	0	6331.645006	9203.776058	4295.613204	5033.051928	6796.417029	6415.713578	10422.36668	8554.092905	10152.67422	2106.100579	4887.002311	3687.319647	1383.442297	3423.863376	9472.562819	0	6234.299203	0	6216.908206	5703.657505	5936.972959	6972.360287	8507.265588	8252.695045	0.903118596	-0.147012642	0.396478169	0.630860932
PEX5	13163.3	13366.40568	10082.41015	7391.714089	7853.559532	9305.38396	10169.49532	7284.747294	8766.2638	0	0	0	11549.43707	10192.64764	8137.671306	0	10784.14574	11750.57129	7351.353705	6812.709887	8916.19881	11181.16187	11372.14747	12565.3687	11790.79804	12488.03772	9820.204275	0	0	0	10317.88072	10711.03693	9609.956987	9065.348387	12587.79948	8867.371796	0.910987517	-0.134496809	0.397199323	0.6318235
GPRC5C	8974.28	3967.627937	5026.430693	4677.533089	2238.37708	3645.234077	5869.902409	5764.492351	4841.180074	0	0	0	1351.626103	2441.323181	1321.538781	4201.813281	2213.250199	6449.899434	5827.519137	7922.45182	7099.342536	2943.125625	3847.252537	3026.372268	1148.308907	4928.946834	3502.542331	0	0	0	3795.279188	2026.4958	1528.933945	1913.786162	1110.229812	4730.847223	1.13790202	0.186376338	0.397240494	0.631704173
SIPA1L2	3493.93	0	4620.581902	0	0	3879.998894	0	0	0	0	0	0	5667.748607	2446.158335	1529.727325	1088.081396	1908.857625	3592.589625	2376.800692	0	4614.543737	4327.050596	3150.010022	3114.850103	0	0	0	0	0	0	3942.403044	3119.756363	1567.212744	2693.559063	3025.818257	1870.021039	0.835088228	-0.259999467	0.397635398	0.632147268
