Protein	Donor	Type	Replicate	Value
CADPS	1	L	2	14144.6629
CADPS	1	L	3	15523.23234
CADPS	2	L	1	47370.22046
CADPS	2	L	2	45381.45469
CADPS	2	L	3	46928.81339
CADPS	3	L	1	42854.16211
CADPS	3	L	2	41432.00848
CADPS	3	L	3	42100.69219
CADPS	4	L	1	9396.359639
CADPS	4	L	2	8793.957919
CADPS	4	L	3	14660.22496
CADPS	5	L	1	34935.77311
CADPS	5	L	2	34102.12218
CADPS	5	L	3	35610.11253
CADPS	6	L	1	30967.90112
CADPS	6	L	2	30712.0768
CADPS	6	L	3	32018.93754
EEF1D3	1	H	1	203713
EEF1D3	1	H	2	184824.2507
EEF1D3	1	H	3	186860.079
EEF1D3	2	H	1	129644.2464
EEF1D3	2	H	2	131375.7274
EEF1D3	2	H	3	126041.5869
EEF1D3	3	H	1	139082.5932
EEF1D3	3	H	2	131834.4297
EEF1D3	3	H	3	144374.2434
EEF1D3	4	H	1	85190.41876
EEF1D3	4	H	2	63640.30569
EEF1D3	4	H	3	74477.82477
EEF1D3	5	H	1	120539.8736
EEF1D3	5	H	2	122407.5936
EEF1D3	5	H	3	125622.718
EEF1D3	6	H	1	135563.6501
EEF1D3	6	H	2	136969.2609
EEF1D3	6	H	3	136485.2376
EEF1D3	1	L	1	178629.2599
EEF1D3	1	L	2	175080.7482
EEF1D3	1	L	3	190106.1953
EEF1D3	2	L	1	104454.4264
EEF1D3	2	L	2	107509.9898
EEF1D3	2	L	3	105126.0935
EEF1D3	3	L	1	111348.4558
EEF1D3	3	L	2	114455.6968
EEF1D3	3	L	3	119099.9951
EEF1D3	4	L	1	68539.84885
EEF1D3	4	L	2	58908.62869
EEF1D3	4	L	3	75623.23863
EEF1D3	5	L	1	114431.2785
EEF1D3	5	L	2	122648.4238
EEF1D3	5	L	3	104738.749
EEF1D3	6	L	1	119406.3952
EEF1D3	6	L	2	121834.542
EEF1D3	6	L	3	123325.7468
SENP3-EIF4A1	1	H	1	146562
SENP3-EIF4A1	1	H	2	137192.3121
SENP3-EIF4A1	1	H	3	150336.4366
SENP3-EIF4A1	2	H	1	119343.1767
SENP3-EIF4A1	2	H	2	115700.5684
SENP3-EIF4A1	2	H	3	113265.8121
SENP3-EIF4A1	3	H	1	113022.4495
SENP3-EIF4A1	3	H	2	125248.8219
SENP3-EIF4A1	3	H	3	117267.809
SENP3-EIF4A1	4	H	1	56427.53788
SENP3-EIF4A1	4	H	2	59631.94222
SENP3-EIF4A1	4	H	3	55862.92249
SENP3-EIF4A1	5	H	1	116718.4211
SENP3-EIF4A1	5	H	2	126739.4069
SENP3-EIF4A1	5	H	3	134312.8704
SENP3-EIF4A1	6	H	1	140652.2836
SENP3-EIF4A1	6	H	2	137256.7028
