ionIdx	ionMz	ionAverageInt	ionTopFormula	ionTopIon	ionTopName	D1 LG	D1 HG	D2 LG	D2 HG	D3 LG	D3 HG	D4 LG	D4 HG	D5 LG	D5 HG		
194	160.0618	19439.72762	C6H11NO4	-H(-)	Aminoadipate	18104	18591.5	7661.5	9137	34476.5	40463.5	19534.5	16778	26562.5	24523.5	HMDB0133719	HMDB0133719
41	102.0558	262405.3458	C4H9NO2	-H(-)	Aminobutanoic acid (ABA)	146355.5	176164	143728	173929.5	772527.5	594531.5	375992.5	324850	348040	316878.5	C05831	C05831
641	294.0503	8441.889873	C8H14N3O7P	-H(-)	Aminoimidazole ribonucleotide	7347.5	7993	5678.5	4504.5	8739.5	9843	8688.5	9693.5	7930.5	10496	HMDB0125227	HMDB0125227
103	130.0508	246366.8307	C5H9NO3	-H(-)	Aminolevulinic acid	144735.5	91327.5	67714	93132	861197	684409	296308	264316.5	398944.5	325181.5	CHEBI:16104	CHEBI:16104
182	156.0302	33447.43575	C6H7NO4	-H(-)	Aminomuconic acid	21851.5	18270	12926.5	16975	99022	85757	35570	33663	48493	40442	HMDB0029230	HMDB0029230
66	115.0868	14136.98324	C5H12N2O	-H(-)	Aminopentanamide	12511.5	13245.5	9661	10803.5	21966	20756.5	12576	10969	15378.5	13928	HMDB0036685	HMDB0036685
791	346.0558	121024.0502	C10H14N5O7P	-H(-)	AMP	49462	85577.5	254430	402798.5	54562.5	71773.5	154604.5	205131	134677	219598	HMDB0000186	HMDB0000186
266	181.0870	35274.42222	C10H14O3	-H(-)	Amyl furoate	34831.5	35978	25243.5	30946.5	38498	36403.5	37334	32889	32018	37375	HMDB0010701	HMDB0010701
494	245.1541	13906.16085	C16H22O2	-H(-)	Amylcinnamyl acetate	14533.5	14685	12524.5	12723	13238.5	13802.5	14892.5	13053.5	14312	15073.5	HMDB0002043	HMDB0002043
1010	467.2640	7009.978442	C25H40O8	-H(-)	Androstanediol glucuronide	7435	6584.5	5937.5	5175	6185	6431.5	6373.5	6850.5	7385	7389	HMDB0114410	HMDB0114410
845	369.1739	67469.35459	C19H30O5S	-H(-)	Androsterone sulfate	11583	10801	10410.5	10227.5	11896	11518.5	12289.5	9968.5	15308	10936	HMDB0038490	HMDB0038490
788	343.1392	14167.33256	C16H24O8	-H(-)	Anethole glycol hexoside	14664.5	12254	7859	7726.5	15274	13849	16656.5	14970	14674	14700	HMDB0127029	HMDB0127029
1245	929.5000	15149.78822	C46H66N12O9	-H(-)	Angiotensin III	12754	14126	36195.5	34200	9386	10481	14921	13367	15350	15563.5	HMDB0124594	HMDB0124594
631	290.0887	19668.18304	C11H17NO8	-H(-)	Anhydro-acetylneuraminic acid	30674.5	24309.5	19279	24927.5	11090.5	11771	29204	27682	28617.5	25235.5	HMDB0036967	HMDB0036967
28	92.0505	7270.509705	C6H7N	-H(-)	Aniline	6496.5	6566.5	4579.5	6065	5125.5	6090.5	7558.5	6555.5	5841.5	6073.5	HMDB0135848	HMDB0135848
796	348.1354	8231.534018	C20H19N3O3	-H(-)	Anisessine	9521.5	8835.5	5709.5	6135.5	7097	6608.5	11199	9870	9115	8516.5	HMDB0127029	HMDB0127029
508	251.0717	71490.41938	C16H12O3	-H(-)	Anisindione	125869.5	94264.5	40048	39179.5	102597.5	106231	126062.5	116294	98557	93266	C07722	C07722
858	377.2335	16951.44407	C22H34O5	-H(-)	Annoglabasin F	17084	35658	14563	14517.5	17367.5	15042	20318	23436	17692.5	18850.5	HMDB0127029	HMDB0127029
424	221.1184	26341.87675	C13H18O3	-H(-)	Annuionone B	23958	28427	20641.5	21923.5	26562.5	26488	28410	26598	25927.5	25264.5	CHEBI:85803	CHEBI:85803
351	203.0706	21957.10175	C12H12O3	-H(-)	Anofinic acid	20416	20024.5	15823.5	19924	22935	23576	24521.5	22648.5	23461.5	23568	HMDB0039174	HMDB0039174
1092	547.2672	12742.86122	C28H40N2O9	-H(-)	Antimycin A1	17700.5	15606.5	6531	10146.5	14125.5	10740.5	17975	13786	18957	14668	C19422	C19422
568	269.0467	14666.17021	C15H10O5	-H(-)	Apigenin	13477.5	12144.5	15160	15665	13688	17758.5	13532.5	14054	15316.5	16598.5	CHEBI:87246	CHEBI:87246
670	303.2331	166223.8201	C20H32O2	-H(-)	Arachidonic acid	115522.5	182563.5	40358.5	82047	53288.5	73898.5	118352.5	149908.5	74457	99994	HMDB0133719	HMDB0133719
